嫦娥奔月的故事中,嫦娥的丈夫是誰?|后羿
傳說中在月亮上砍桂樹、怎麼砍都砍不倒的人是誰?|吳剛
傳說中在月宮搗藥的動物是什麼?|玉兔
中秋節是農曆幾月幾日?|八月十五日
「但願人長久,千里共嬋娟」出自哪位詩人?|蘇軾
「舉頭望明月,低頭思故鄉」是哪位詩人的作品?|李白
「海上生明月,天涯共此時」是哪位詩人寫的?|張九齡
台灣中秋常吃的文旦,最有名的產地是哪裡?|台南麻豆
月餅裡常見的蛋黃,是用什麼蛋做的?|鹹鴨蛋
中秋節晚上的月亮是什麼月相?|滿月
請說出中秋節的另一個別稱(任一個即可)|月夕、秋節、團圓節、拜月節等
今年(2026 年)中秋節是國曆幾月幾日?|9 月 25 日
北極熊的皮膚是什麼顏色|黑色
越南中秋節相當於當地的什麼節|兒童節
後羿射日的神話中，天空中同時出現了幾顆太陽|十顆
「吳剛伐桂」中，吳剛在什麼宮受罰|廣寒宮
「但願人長久，千里共嬋娟」詞牌名是什麼|水調歌頭
生肉烤到產生誘人焦香與金黃色澤的化學反應，統稱為什麼？|梅納反應
「松阪豬」是什麼部位？|豬頸肉（臉頰與下巴連接脖子）
一個月三十天，哪天月亮最圓？|農曆16號
月球上的引力大約是地球引力的幾分之幾？|1/6
踏上月球的第二人叫什麼名子|伯茲·艾德林（Buzz Aldrin）
請問鋁箔紙亮面和霧面，哪一面應該朝外？|霧面
請現場唱出一句歌詞裡面包含「月亮」的歌？|
跟兩位老闆自拍|
說出三個同事的優點|
跟主持人猜拳，贏了才得分|
茂登碳中和環保有限公司總共幾個字|11 個字
摯陞數位科技總共幾筆畫|摯15陞10數15位7科9技7合計63 畫
摯陞跟茂登的統編，數字拆成個位數，累加總是多少|9+0+0+5+8+6+0+9+5+0+9+5+0+1+1+9 = 67
不看你賺多少，只看你排多少，排越多繳越多。|碳稅
高碳商品想進歐洲，要在邊境先「補票」，英文縮寫四個字母。|CBAM（碳邊境調整機制）
哪一種船最不怕碳稅？|帆船，靠風就能走，一點碳都不排。
船一靠岸就插上電，引擎熄火不冒煙|岸電
開得慢反而更環保，省油又少排碳。（打一航行方式）|減速航行（Slow Steaming）
船兒每年領成績單，從 A 到 E 分五級，拿到 E 要檢討。（打一指標）|CII（碳強度指標）
海草、紅樹林和鹽沼幫忙存起來的碳，顏色像大海。（打一名詞）|藍碳
自己的煙囪、買來的電、上下游供應鏈，碳排分三層算。（打一盤查分類）|範疇一、二、三（Scope 1、2、3）
平常用來做肥料，味道很刺鼻，燒起來卻不排二氧化碳。（打一船用燃料）|氨（阿摩尼亞）
計算貨櫃的單位，一個長度大約 20 呎。（打一英文縮寫）|TEU（20 呎標準貨櫃）
新船有 EEDI，舊船也要考這個設計能效指標。（打一英文縮寫）|EEXI（現有船舶能效指數）
吃完的柚子皮不丟掉，戴在頭上當帽子。（打一環保觀念）|再利用（循環經濟）
月圓時海水漲得特別高，大船常挑這時候進出淺港。（打一海象名詞）|大潮
大船中秋回港前，有位專家會先上船帶路，好讓船平安團圓。（打一職業）|引水人（領港）
船和月亮有什麼共同點？|都會漂，一個漂在海上，一個飄在天上。
沒有衛星的年代，船員抬頭看月亮和星星，手裡拿著它量角度找船位。（打一航海儀器）|六分儀
中秋夜航行，船身左邊掛紅燈、右邊掛綠燈，跟月光互相輝映。（打一船上設備）|舷燈（航行燈）
一顆月餅穿了三層外衣，吃完只剩一堆垃圾，碳足跡跟著變大。（打一現象）|過度包裝
月餅禮盒從遠方漂洋過海來，一路上都在排碳。（打一環保名詞）|食物里程
嫦娥在天上看得到每艘船，岸上的人要靠三個英文字母才看得到。（打一船舶系統）|AIS（船舶自動識別系統）
「舉頭望明月」（打一航海技術）|天文航海
「江楓漁火對愁眠」（打一船舶種類）|漁船
